id	199700	199701	199710	199711	199720	199721	199730	199731	199800	199801	199810	199811	199820	199821	199830	199831	199900	199901	199910	199911	199920	199921	199930	199931	200000	200001	200010	200011	200020	200021	200030	200031	200100	200101	200110	200111	200120	200121	200130	200131	200200	200201	200210	200211	200220	200221	200230	200231	200300	200301	200310	200311	200320	200321	200330	200331	200400	200401	200410	200411	200420	200421	200430	200431	200500	200501	200510	200511	200520	200521	200530	200531	200600	200601	200610	200611	200620	200621	200630	200631	200700	200701	200710	200711	200720	200721	200730	200731	200800	200801	200810	200811	200820	200821	200830	200831	200900	200901	200910	200911	200920	200921	200930	200931	201000	201001	201010	201011	201020	201021	201030	201031	201100	201101	201110	201111	201120	201121	201130	201131	201200	201201	201210	201211	201220	201221	201230	201231
1019	63052	32971	21462	19821	35023	32863	17083	15893	66102	35741	22882	21962	36453	33793	18473	18403	68172	38071	24252	24732	40504	46074	18543	18293	68252	37951	24912	26022	38753	39883	20384	21684	74732	41871	26162	27882	40474	42244	21044	23444	77902	49201	27572	29822	42364	43254	22324	25645	84562	55671	30713	35243	45704	46694	25105	31296	88852	55791	32263	37673	49274	51925	25915	32886	91533	56431	32853	37133	50405	51365	26185	32276	92593	53591	32893	36403	50305	49554	26185	31936	97503	53651	33803	35883	51495	49094	26805	31386	102373	57311	34863	35953	53685	52785	26765	30236	110043	65402	38113	38793	57895	58075	28685	30736	113413	72982	41844	44384	62706	63636	31726	36297	115673	78382	44284	49274	66696	69126	32966	40258	118273	79422	45264	50275	68006	71357	33656	40698
1021	64152	59221	26342	28072	38023	38243	17943	17843	66742	61802	27812	30043	39653	39873	19293	20154	69232	64512	28682	31243	41354	42244	19223	20034	68992	64422	29162	31413	41684	42304	20624	21624	73392	66522	30783	33213	42084	42234	22874	25095	78952	73622	33453	36533	44684	44784	25575	29085	85212	80592	36233	39903	48684	49214	26805	30506	90143	85472	38493	42974	52975	54325	27885	32036	96763	95173	40794	46184	56925	59285	27895	31576	93003	86062	42194	47914	56275	57845	31526	38137	96863	89102	43294	48774	57645	59365	32166	38327	100083	92263	45194	50935	61736	65146	31836	36917	108173	100263	48804	54085	66536	70727	33586	37187	113973	108633	53195	59585	71727	77277	37107	41908	115813	110923	55965	63216	76067	82658	38427	43908	118463	113613	58355	65916	79447	86848	39637	45109
1023	58501	53581	22442	25102	36933	36473	16103	16903	61082	56041	23592	27322	38613	37863	17003	19723	62612	58091	23932	27952	39033	38803	17163	20004	63632	58651	24452	29112	39773	39583	18143	21734	69302	63352	26612	32193	42134	42194	19773	25255	73452	67712	28562	34863	44864	44774	21364	27985	77832	72302	30483	37663	47824	48144	22514	29775	82072	77302	32363	40744	51125	52965	23704	31626	84052	81242	33713	41244	52405	53485	24654	31736	85022	77132	34613	43974	52605	52395	26085	38097	88332	79832	35553	44804	54205	54465	26485	38037	91233	83142	36213	45424	55915	57985	26365	36637	99893	89562	39893	48604	60126	64636	28785	37057	104633	96563	43234	53715	63226	70837	31806	41598	106763	100323	45174	57415	65906	74367	33206	45589	109163	101723	46674	58745	68686	77347	33776	45749
1025	58361	49111	22012	22092	36593	35813	16713	17513	60982	51941	23562	24762	38123	37023	18253	20664	62752	53911	24142	25622	39013	39163	18603	21054	64012	54941	24712	26302	39343	39173	19533	22014	69822	59691	26812	29542	41664	42104	21324	25435	73902	63582	28872	32253	44244	44324	23144	28305	78482	67812	30973	34743	47394	48394	24504	29965	82692	72142	32673	36883	50285	53255	25775	31706	84652	75102	33903	37213	51685	53985	26635	31806	85662	71982	34673	38843	51915	52895	27725	34576	89132	74362	35463	39213	53275	54615	28105	34536	92123	78062	35993	39223	55075	58855	27855	33266	100643	83632	39383	41364	59145	65076	30216	33986	104973	90023	42814	46004	61196	70307	33616	38567	107853	94923	45634	50825	64146	74577	36307	43608	109953	95953	47064	51585	66926	77557	36917	43688
1027	60892	47841	22702	22062	35493	34663	18063	18253	63602	50481	24382	24822	36953	36083	19833	21414	65412	51871	25182	26192	39873	42704	19603	21154	64602	52311	26092	27522	39213	40134	21554	23864	69942	53761	28132	30083	40824	42234	23614	26795	75062	61632	30803	34073	43134	44554	26245	31036	81292	67362	31913	34803	46784	49084	25705	29795	85362	69562	33353	36563	50175	53815	26545	30996	87562	70792	33993	36333	51725	54755	26635	30206	87392	66112	34063	35863	51845	53635	26635	30066	91163	67492	35233	36293	52775	53745	27615	30596	95713	71722	36333	36543	55175	58175	27455	29495	103173	78592	39303	38273	59695	63786	29235	29835	108173	87742	43304	43164	64796	70157	32486	34226	109133	89522	45124	45554	68566	75537	33306	35687	111973	92533	47634	49244	70187	78587	36047	39597
1029	60692	39691	22832	22872	33533	32003	17453	17923	63542	42561	24122	25402	34823	33123	18753	21224	66012	46571	26162	30263	40294	47224	18633	20984	62832	43301	26142	29172	37233	38103	21224	25465	70882	46351	28142	31743	38813	40664	22934	28095	71882	52051	28822	33693	40874	43134	23374	29815	80992	63542	30423	37843	43994	46664	22564	30646	85342	65472	31883	40644	47134	51555	23114	31936	87852	66792	32903	40254	48354	50945	23844	31456	88702	63022	33073	39553	48514	49614	23934	31436	93073	63772	34493	39253	49774	48914	25135	31456	97833	68252	35933	40374	52205	52855	24934	30306	105423	75952	39853	43584	56615	58035	27825	30706	108783	83872	43714	48574	61796	63026	30536	35697	109673	87372	45544	52715	65506	68426	30866	38667	112413	89232	46784	54555	66156	70427	32046	40358
1031	31231	20470	17891	17041	34273	32793	15933	15733	33931	23240	20192	19641	36163	35063	18283	18363	34151	23220	20402	19771	38623	39013	18193	18163	36581	27220	23792	23752	39103	39453	21994	22444	42321	31211	27052	27482	40954	41654	25465	26415	44201	32121	27422	27612	43304	43904	25595	26395	50111	37611	32023	32773	44994	47724	30286	31586	51751	37401	31703	32163	46974	52495	29955	31106	51691	36831	31263	31343	47484	51575	29395	30286	54051	36221	30783	30563	47594	50315	28485	29325	56591	37701	31953	31743	48524	51365	29645	30516	57571	37971	31423	30843	50025	54045	28765	29385	61042	39241	32533	31313	54255	59515	29325	29515	65152	43331	36173	35123	57895	67446	32756	33086	69642	48811	40524	40114	61216	72237	37257	38107	70612	49331	40964	40344	63266	75067	37447	38167
1033	48201	37891	28202	29062	32223	31643	17703	16373	50451	39871	29092	29942	32893	32193	19193	18883	21920	20420	19591	19511	35753	35313	18803	18793	25490	24150	23392	23342	37413	37073	22714	22724	27600	25910	25102	25052	38343	37833	24454	24474	29710	27950	27092	27042	41354	40814	26395	26425	35261	33441	32463	32453	44954	44354	31856	31916	36871	34931	33933	33923	48294	47724	33236	33296	38081	36141	35133	35123	52555	52185	34286	34356	37681	35371	34263	34223	53245	52795	33226	33286	36721	34201	33073	32993	46754	45504	32316	32366	36191	33501	32303	32203	50525	49534	31296	31336	33051	32091	31653	31603	54595	53695	31276	31276	38591	37651	37213	37183	59155	58435	36847	36867	47301	44511	42724	42684	63936	63476	41558	41638	47301	44411	42674	42614	67066	66716	41328	41408
1035	25570	20390	18711	18451	35623	34263	18103	18213	23860	18090	16451	15921	37153	35773	15703	15613	26210	20750	19061	18711	38543	38723	18363	18403	29120	24280	22372	22252	38723	39033	21814	21994	33511	27670	25452	25492	40784	41714	24904	25245	35501	29280	26802	26832	43274	43894	26215	26575	38501	31841	29242	29302	46284	48384	28595	29015	42851	36041	33143	33423	47944	53125	32596	33186	42161	35231	32353	32453	49124	53425	31736	32196	41861	34031	31513	31493	49344	52305	30816	31236	42801	34361	31743	31663	50515	53825	30996	31386	42761	33861	30803	30563	52265	58075	29935	30226	43241	34031	31193	30753	56525	64266	30266	30376	48761	39671	36563	36293	57985	70237	35697	35917	56251	46821	42814	42864	61216	75227	41978	42468	56681	46991	43024	42944	63926	77927	42088	42508
1037	57791	47071	22322	21482	35933	35233	17413	17003	60422	49831	24032	23852	37443	36743	19183	19653	62162	51081	24512	24522	39423	40174	18933	19393	63032	53801	26502	27392	39843	40294	21774	23224	67022	54871	28642	29902	41464	42024	24124	26255	73102	62762	30673	32323	43934	44444	25645	28255	78822	68362	33033	34973	48054	49504	26915	29685	83452	72212	35203	37773	51725	54265	28955	32586	85672	73982	34633	35893	53515	56005	27265	29335	84142	68082	34783	35723	53455	54975	27535	29655	88162	71052	36483	37493	54495	55925	29295	31696	92093	75332	37313	37813	57475	60956	28845	30526	99053	81512	39813	39343	62246	66966	30126	30706	104423	89472	44454	44984	67376	73687	34336	35997	105383	90733	44424	44134	71537	79377	32326	33006	109593	96333	49614	51515	73767	82518	38727	41728
